tiempo;IMACEC;Con_mwh;Con_gwh;Tiempo
ene.2019;99;5808417;5808;1
feb.2019;93;5506783;5507;2
mar.2019;106;5900104;5900;3
abr.2019;103;5688921;5689;4
may.2019;104;5862508;5863;5
jun.2019;99;5690526;5691;6
jul.2019;97;5893276;5893;7
ago.2019;102;5884431;5884;8
sept.2019;97;5695677;5696;9
oct.2019;98;5788136;5788;10
nov.2019;101;5877065;5877;11
dic.2019;110;6089067;6089;12
ene.2020;100;6053956;6054;13
feb.2020;95;5865073;5865;14
mar.2020;101;6148862;6149;15
abr.2020;88;5863595;5864;16
may.2020;87;5917314;5917;17
jun.2020;86;5706502;5707;18
jul.2020;86;5764623;5765;19
ago.2020;91;5870827;5871;20
sept.2020;92;5802579;5803;21
oct.2020;97;5995265;5995;22
nov.2020;102;5944777;5945;23
dic.2020;111;6232460;6232;24
