Season;Episode;Episode in Season;Title;Director(s);Writer(s);Air Date;Opening Line;IMDBrating;Votos
1;1;1;Space Pilot 3000;Rich Moore & Gregg Vanzo;David X. Cohen & Matt Groening;(1999-03-28); In Color.;8.6;4478
1;2;2;The Series Has Landed;Peter Avanzino;Ken Keeler;(1999-04-04); In Hypno-Vision.;8.0;3612
1;3;3;I, Roommate;Bret Haaland;Eric Horsted;(1999-04-06); As Seen On TV.;8.2;3511
1;4;4;Love's Labours Lost in Space;Brian Sheesley;Brian Kelley;(1999-04-13); presented in BC [Brain Control] where available.;8.1;3359
1;5;5;Fear of a Bot Planet;Peter Avanzino & Carlos Baeza;Evan Gore & Heather Lombard;(1999-04-20); Featuring Gratuitous Alien Nudity.;7.8;3164
1;6;6;A Fishful of Dollars;Ron Hughart & Gregg Vanzo;Patric M. Verrone;(1999-04-27); Loading...;8.2;3295
1;7;7;My Three Suns;Jeffrey Lynch & Kevin O'Brien;J. Stewart Burns;(1999-05-04); Presented in Doublevision Doublevision (Where Drunk);7.8;3116
1;8;8;A Big Piece of Garbage;Susan Dietter;Lewis Morton;(1999-05-11); Mr. Bender's Wardrobe By Robotany 500.;8.0;3087
1;9;9;Hell Is Other Robots;Rich Moore;Eric Kaplan;(1999-05-18); Condemned By The Space Pope.;8.0;3171
1;10;10;A Flight to Remember;Peter Avanzino;Eric Horsted;(1999-09-26); Filmed On Location.;8.2;3116
1;11;11;Mars University;Bret Haaland;J. Stewart Burns;(1999-10-03); Transmitido en Martian en SAP.;7.7;2943
1;12;12;When Aliens Attack;Brian Sheesley;Ken Keeler;(1999-11-07); Proudly Made On Earth.;8.0;2864
1;13;13;Fry and the Slurm Factory;Ron Hughart;Lewis Morton;(1999-11-14); Live From Omicron Persei 8.;8.3;3124
2;14;1;I Second That Emotion;Mark Ervin;Patric M. Verrone;(November 21, 1999); Made From Meat By-Products.;7.7;2765
2;15;2;Brannigan, Begin Again;Jeffrey Lynch;Lewis Morton;(November 28, 1999);Not Y3K Compliant.;7.9;2773
2;16;3;A Head in the Polls;Bret Haaland;J. Stewart Burns;(December 12, 1999); From The Makers Of Futurama.;7.7;2710
2;17;4;Xmas Story;Peter Avanzino;David X. Cohen;(December 19, 1999); Based On a True Story.;8.1;2896
2;18;5;Why Must I Be a Crustacean in Love?;Brian Sheesley;Eric Kaplan;(February 6, 2000);" From the network that brought you ""The Simpsons"".";8.0;2768
2;19;6;The Lesser of Two Evils;Chris Sauve;Eric Horsted;(February 20, 2000); The Show That Watches Back.;7.5;2579
2;20;7;Put Your Head on My Shoulders;Chris Louden;Ken Keeler;(February 13, 2000); Not Based On The Novel by James Fenimore Cooper.;7.5;2601
2;21;8;Raging Bender;Ron Hughart;Lewis Morton;(February 27, 2000); Nominated For Three Glemmys.;7.6;2547
2;22;9;A Bicyclops Built for Two;Susan Dietter;Eric Kaplan;(March 19, 2000); This Episode Has Been Modified To Fit Your Primitive Screen.;8.0;2705
2;23;10;A Clone of My Own;Rich Moore;Patric M. Verrone;(April 9, 2000); Coming Soon To An Illegal DVD.;7.5;2523
2;24;11;How Hermes Requisitioned His Groove Back;Mark Ervin;Bill Odenkirk;(April 2, 2000); As Foretold by Nostradamus.;8.0;2646
2;25;12;The Deep South;Bret Haaland;J. Stewart Burns;(April 16, 2000); A Stern Warning of Things to Come.;7.8;2634
2;26;13;Bender Gets Made;Peter Avanzino;Eric Horsted;(April 30, 2000); Simulcast On Crazy People's Fillings.;7.6;2510
2;27;14;Mother's Day;Brian Sheesley;Lewis Morton;(May 14, 2000); Larva-Tested, Pupa-Approved.;7.8;2518
2;28;15;The Problem with Popplers;Chris Sauve & Gregg Vanzo;Story byâ€Š: Darin Henry & Patric M. Verrone Teleplay byâ€Š: Patric M. Verrone;(May 7, 2000); For External Use Only.;8.5;2790
2;29;16;Anthology of Interest I;Chris Louden & Rich Moore;Eric Rogers, Ken Keeler and David X. Cohen;(May 21, 2000); Painstakingly Drawn Before A Live Audience.;8.5;2822
2;30;17;War Is the H-Word;Ron Hughart;Eric Horsted;(November 26, 2000); Touch Eyeballs To Screen For Cheap Laser Surgery.;8.4;2782
