Propinas_clp;N_personas;tiempo;edad;dia
2.99;1;Intermedio;adulto_joven;Viernes
2;1;Intermedio;adulto_joven;Domingo
5;1;Intermedio;senior;Viernes
4;3;Intermedio;adulto;Sabado
10.34;2;Intermedio;senior;Jueves
4.85;2;Intermedio;adulto;Miercoles
5;4;Intermedio;adulto_joven;Sabado
4;3;Intermedio;adulto;Jueves
5;2;Intermedio;adulto;Sabado
1.58;1;Intermedio;senior;Miercoles
6.44;2;Intermedio;adulto;Sabado
11;2;Intermedio;adulto_joven;Jueves
1.75;1;Intermedio;senior;Sabado
2;1;Intermedio;senior;Viernes
2.53;1;Intermedio;adulto;Viernes
3;1;Intermedio;adulto;Jueves
5;1;Intermedio;adulto;Sabado
6;2;Intermedio;adulto;Jueves
4;3;Intermedio;adulto;Viernes
5.09;2;Intermedio;adulto;Domingo
5.5;2;Intermedio;adulto;Sabado
3;3;Intermedio;adulto_joven;Jueves
0.68;1;Segundo_acto;adulto_joven;Jueves
0.18;1;Segundo_acto;adulto_joven;Viernes
1.18;1;Segundo_acto;adulto_joven;Jueves
0.68;1;Segundo_acto;adulto_joven;Sabado
0.18;1;Segundo_acto;adulto_joven;Sabado
1;1;Segundo_acto;adulto_joven;Sabado
1;1;Segundo_acto;adulto_joven;Sabado
19.46;8;Segundo_acto;adulto;Jueves
1;1;Segundo_acto;adulto_joven;Jueves
1.9;1;Segundo_acto;adulto_joven;Jueves
1.5;1;Segundo_acto;adulto_joven;Viernes
4;2;Segundo_acto;senior;Domingo
2;1;Segundo_acto;senior;Miercoles
1.51;2;Segundo_acto;senior;Viernes
3.67;2;Segundo_acto;senior;Jueves
5;2;Intermedio;adulto;Jueves
8;3;Intermedio;adulto;Domingo
5;2;Intermedio;adulto;Viernes
5.5;3;Intermedio;adulto;Viernes
10;4;Intermedio;adulto;Jueves
15;7;Intermedio;senior;Sabado
4;2;Primer_acto;adulto;Domingo
4;2;Primer_acto;adulto;Jueves
3.6;1;Primer_acto;senior;Jueves
4;2;Primer_acto;adulto_joven;Viernes
6;4;Primer_acto;adulto;Domingo
4.09;2;Primer_acto;senior;Jueves
5;2;Primer_acto;adulto_joven;Jueves
7;3;Primer_acto;adulto;Sabado
8.14;3;Primer_acto;adulto;Sabado
6.54;4;Primer_acto;adulto;Miercoles
4.51;2;Primer_acto;adulto;Jueves
6;2;Primer_acto;senior;Sabado
3.09;2;Primer_acto;senior;Jueves
2.1;2;Primer_acto;adulto;Sabado
5.98;2;Primer_acto;adulto;Viernes
15;5;Primer_acto;adulto;Jueves
7.58;2;Primer_acto;adulto;Jueves
5.3;2;Primer_acto;adulto_joven;Sabado
4;2;Intermedio;senior;Domingo
10;3;Intermedio;adulto;Sabado
11.67;5;Intermedio;adulto;Jueves
4.25;2;Intermedio;adulto_joven;Sabado
8;3;Intermedio;adulto;Viernes
6;2;Intermedio;adulto;Jueves
4;3;Intermedio;adulto;Viernes
5.02;2;Intermedio;senior;Sabado
16;4;Intermedio;adulto;Viernes
7.2;2;Intermedio;adulto;Viernes
6;3;Intermedio;adulto;Viernes
3;1;Intermedio;adulto;Jueves
2;1;Intermedio;adulto;Miercoles
10;3;Intermedio;senior;Sabado
4;2;Intermedio;adulto;Miercoles
4;2;Intermedio;adulto;Viernes
4;2;Intermedio;adulto;Sabado
8.84;4;Intermedio;adulto;Martes
4.46;2;Intermedio;adulto;Viernes
1.4;1;Intermedio;adulto_joven;Viernes
8;2;Intermedio;adulto;Viernes
2.5;1;Intermedio;adulto_joven;Sabado
2.5;1;Intermedio;adulto_joven;Viernes
3.12;2;Intermedio;senior;Domingo
5;2;Intermedio;adulto;Miercoles
3;1;Intermedio;adulto;Sabado
2;1;Intermedio;senior;Viernes
10;6;Intermedio;senior;Jueves
6;4;Intermedio;adulto;Viernes
5;2;Intermedio;adulto;Domingo
5;2;Intermedio;adulto_joven;Jueves
6;1;Intermedio;senior;Sabado
6.64;2;Intermedio;senior;Sabado
5.96;4;Intermedio;adulto;Sabado
9;3;Intermedio;senior;Sabado
5.54;2;Intermedio;adulto;Jueves
4;2;Intermedio;adulto;Viernes
1.69;1;Intermedio;senior;Jueves
0.02;1;Segundo_acto;adulto_joven;Jueves
2;2;Segundo_acto;adulto_joven;Viernes
0.87;1;Segundo_acto;adulto_joven;Jueves
4.47;1;Segundo_acto;adulto;Jueves
3;2;Segundo_acto;adulto;Sabado
1.51;1;Segundo_acto;adulto;Jueves
1.81;2;Segundo_acto;adulto;Sabado
4;3;Segundo_acto;adulto;Jueves
2.09;1;Segundo_acto;adulto_joven;Sabado
0.87;1;Segundo_acto;adulto_joven;Viernes
3.48;1;Segundo_acto;adulto_joven;Viernes
4;3;Segundo_acto;adulto;Viernes
5;6;Segundo_acto;adulto;Viernes
5.4;2;Segundo_acto;adulto;Jueves
2;1;Segundo_acto;adulto;Viernes
6.13;3;Segundo_acto;adulto;Jueves
6;3;Intermedio;adulto;Viernes
8.29;4;Intermedio;adulto;Jueves
4.02;2;Intermedio;adulto;Viernes
9.05;4;Intermedio;adulto;Domingo
3;3;Intermedio;adulto;Viernes
5.18;2;Intermedio;adulto_joven;Viernes
5;2;Intermedio;adulto;Sabado
9;4;Intermedio;adulto;Viernes
4.91;2;Intermedio;adulto;Viernes
5;2;Intermedio;adulto;Viernes
4;2;Intermedio;adulto;Domingo
3.48;3;Intermedio;adulto;Sabado
10;4;Intermedio;adulto;Domingo
7;2;Intermedio;senior;Sabado
2.56;2;Intermedio;adulto;Viernes
4.5;2;Intermedio;adulto;Jueves
10;5;Intermedio;adulto;Miercoles
4;2;Intermedio;adulto_joven;Sabado
10;5;Intermedio;adulto;Sabado
1.05;2;Segundo_acto;adulto_joven;Miercoles
10;4;Intermedio;adulto;Jueves
5;2;Segundo_acto;adulto_joven;Viernes
4;2;Primer_acto;adulto;Sabado
5;3;Primer_acto;senior;Sabado
4;4;Primer_acto;adulto;Domingo
15;9;Primer_acto;senior;Viernes
5;4;Primer_acto;adulto;Miercoles
10;3;Primer_acto;adulto;Jueves
3.21;2;Primer_acto;senior;Jueves
4.32;2;Primer_acto;senior;Jueves
8;4;Primer_acto;senior;Viernes
15;6;Primer_acto;adulto;Sabado
4;2;Primer_acto;adulto;Jueves
5;2;Primer_acto;adulto;Domingo
0.88;2;Primer_acto;adulto_joven;Viernes
3;3;Primer_acto;adulto;Jueves
6.19;2;Intermedio;senior;Jueves
5;2;Intermedio;adulto_joven;Viernes
5;2;Intermedio;adulto;Jueves
5;3;Intermedio;senior;Viernes
4;2;Intermedio;adulto;Jueves
4;3;Intermedio;adulto;Jueves
5;3;Intermedio;adulto;Viernes
9.07;2;Intermedio;senior;Sabado
5;2;Intermedio;adulto_joven;Jueves
4.09;2;Intermedio;adulto;Viernes
5;2;Intermedio;adulto_joven;Jueves
10;4;Intermedio;senior;Jueves
4.92;2;Intermedio;adulto_joven;Viernes
