segment_start,segment_end,label,instrument,song_artist,song_title
0.0,0.371519274,silence,,ArtBlakeyQuintett,ANightInTunisia
0.371519274,11.331337868,intro,"p,b,dr",ArtBlakeyQuintett,ANightInTunisia
11.331337868,67.059229024,theme_01_01,"tp,as,p,b,dr",ArtBlakeyQuintett,ANightInTunisia
67.059229024,126.78095238,solo_01_01,"s_as,b_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
126.78095238,186.688435374,solo_01_02,"s_as,b_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
186.688435374,247.153197278,solo_02_01,"s_tp,b_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
247.153197278,309.289795918,solo_02_02,"s_tp,b_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
309.289795918,369.661678004,solo_03_01,"s_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
369.661678004,427.990204081,solo_03_02,"s_p,b_b,b_dr",ArtBlakeyQuintett,ANightInTunisia
427.990204081,482.23201814,solo_04_01,s_dr,ArtBlakeyQuintett,ANightInTunisia
482.23201814,517.24770975,theme_02_01,"tp,as,p,b,dr",ArtBlakeyQuintett,ANightInTunisia
517.24770975,552.820680271,outro,"tp,p,b,dr",ArtBlakeyQuintett,ANightInTunisia
552.820680271,555.52,silence,,ArtBlakeyQuintett,ANightInTunisia
0.0,0.348299319,silence,,ArtBlakey,DownUnder
0.348299319,26.006349206,intro,"p,tb,tp,as,dr,b",ArtBlakey,DownUnder
26.006349206,64.272834467,theme_01_01,"tb,tp,as,dr,p,b",ArtBlakey,DownUnder
64.272834467,104.293877551,theme_01_02,"tb,tp,as,p,b,dr",ArtBlakey,DownUnder
104.293877551,143.499319727,solo_01_01,"s_as,b_p,b_b,b_dr",ArtBlakey,DownUnder
143.499319727,182.717823129,solo_02_01,"s_tb,b_p,b_b,b_dr",ArtBlakey,DownUnder
182.717823129,222.563265306,solo_03_01,"s_tp,b_p,b_b,b_dr",ArtBlakey,DownUnder
222.563265306,261.340589569,solo_04_01,"s_p,b_b,b_dr",ArtBlakey,DownUnder
261.340589569,301.395011337,theme_02_01,"tp,as,tb,p,b,dr",ArtBlakey,DownUnder
301.395011337,326.31002267400004,outro,"p,tp,tb,as,b,dr",ArtBlakey,DownUnder
326.31002267400004,330.48,silence,,ArtBlakey,DownUnder
0.0,0.371519274,silence,,ArtPepper,Anthropology
0.371519274,14.889795918,intro,"cl,b,dr",ArtPepper,Anthropology
14.889795918,60.669387755,theme_01_01,"cl,b,dr",ArtPepper,Anthropology
60.669387755,96.848979591,solo_01_01,"s_cl,b_b,b_dr",ArtPepper,Anthropology
96.848979591,132.310204081,solo_01_02,"s_cl,b_b,b_dr",ArtPepper,Anthropology
132.310204081,166.661224489,solo_01_03,"s_cl,b_b,b_dr",ArtPepper,Anthropology
166.661224489,201.404081632,solo_01_04,"s_cl,b_b,b_dr",ArtPepper,Anthropology
201.404081632,235.036734693,solo_02_01,"s_b,b_dr",ArtPepper,Anthropology
235.036734693,266.775510204,solo_02_02,"s_b,b_dr",ArtPepper,Anthropology
266.775510204,301.779591836,solo_03_01,"s_cl,s_dr,b_b",ArtPepper,Anthropology
301.779591836,334.628571428,solo_03_02,"s_cl,s_dr,b_b",ArtPepper,Anthropology
334.628571428,368.130612244,theme_02_01,"cl,b,dr",ArtPepper,Anthropology
368.130612244,391.640816325,outro,"cl,b,dr",ArtPepper,Anthropology
391.640816325,396.3333333333333,silence,,ArtPepper,Anthropology
0.0,0.653061224,silence,,ArtPepper,BluesForBlanche
0.653061224,12.01632653,intro,"as,p,b,dr",ArtPepper,BluesForBlanche
12.01632653,27.624489795,theme_01_01,"as,p,b,dr",ArtPepper,BluesForBlanche
27.624489795,42.906122448,theme_01_02,"as,p,b,dr",ArtPepper,BluesForBlanche
42.906122448,58.122448979,solo_01_01,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
58.122448979,73.142857142,solo_01_02,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
73.142857142,87.706122448,solo_01_03,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
87.706122448,102.008163265,solo_01_04,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
102.008163265,116.636734693,solo_01_05,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
116.636734693,131.2,solo_01_06,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
131.2,145.436734693,solo_01_07,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
145.436734693,159.869387755,solo_01_08,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
159.869387755,174.171428571,solo_01_09,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
174.171428571,188.27755102,solo_01_10,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
188.27755102,202.906122448,solo_01_11,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
202.906122448,217.208163265,solo_02_01,"s_p,b_b,b_dr",ArtPepper,BluesForBlanche
217.208163265,231.183673469,solo_02_02,"s_p,b_b,b_dr",ArtPepper,BluesForBlanche
231.183673469,245.420408163,solo_02_03,"s_p,b_b,b_dr",ArtPepper,BluesForBlanche
245.420408163,259.526530612,solo_02_04,"s_p,b_b,b_dr",ArtPepper,BluesForBlanche
259.526530612,273.567346938,solo_03_01,"s_b,b_p,b_dr",ArtPepper,BluesForBlanche
273.567346938,287.346938775,solo_03_02,"s_b,b_p,b_dr",ArtPepper,BluesForBlanche
287.346938775,300.473469387,solo_03_03,"s_b,b_p,b_dr",ArtPepper,BluesForBlanche
300.473469387,315.232653061,solo_04_01,"s_as,b_p,b_b,b_dr",ArtPepper,BluesForBlanche
315.232653061,328.228571428,solo_04_02,s_dr,ArtPepper,BluesForBlanche
328.228571428,342.269387755,solo_04_03,"s_p,b_b,b_dr",ArtPepper,BluesForBlanche
342.269387755,355.918367346,solo_04_04,s_dr,ArtPepper,BluesForBlanche
355.918367346,370.285714285,theme_02_01,"as,p,b,dr",ArtPepper,BluesForBlanche
370.285714285,402.089795917,theme_02_02,"as,p,b,dr",ArtPepper,BluesForBlanche
402.089795917,407.0,silence,,ArtPepper,BluesForBlanche
0.0,0.882358276,silence,,ArtPepper,Desafinado
0.882358276,14.367346938,intro,"p,b,dr",ArtPepper,Desafinado
14.367346938,124.081632653,theme_01_01,"as,p,b,dr",ArtPepper,Desafinado
124.081632653,233.17478458,solo_01_01,"s_as,b_p,b_b,b_dr",ArtPepper,Desafinado
233.17478458,343.794648526,solo_02_01,"s_p,b_b,b_dr",ArtPepper,Desafinado
343.794648526,479.58494331,theme_02_01,"as,p,b,dr",ArtPepper,Desafinado
479.58494331,483.3333333333333,silence,,ArtPepper,Desafinado
0.0,0.325079365,silence,,ArtPepper,InAMellowTone
